"","sub_id","common_name","sci_name","tax_order","count_raw","state","county","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num","hab_hm","hab_p","hab_o","hab_b","hab_other","source"
"1","S89764927","Canada Goose","Branta canadensis",303,"2","US-NC","Durham","MBBS, Durham, 8-15","L15272651",36.018845,-78.805619,2021-06-06,"06:31 AM","eBird - Stationary Count",NA,NA,1,"","v=4;h=B,M","Brian Bockhahn",NA,NA,NA,2,2021,"durham",8,15,NA,NA,NA,NA,NA,NA
"2","S89764923","Canada Goose","Branta canadensis",303,"26","US-NC","Durham","MBBS, Durham, 8-19","L15272698",36.046454,-78.808834,2021-06-06,"06:50 AM","eBird - Stationary Count",NA,NA,1,"","h=B,W,M","Brian Bockhahn",NA,NA,NA,26,2021,"durham",8,19,NA,NA,NA,NA,NA,NA
"3","S117821466","Canada Goose","Branta canadensis",303,"16","US-NC","Durham","MBBS, Durham, 8-19","L15272698",36.046454,-78.808834,2022-06-19,"06:43 AM","eBird - Stationary Count",NA,NA,1,"","v=0","Brian Bockhahn",NA,NA,NA,16,2022,"durham",8,19,NA,NA,NA,NA,NA,NA
"4","S90266024","Canada Goose","Branta canadensis",303,"1","US-NC","Durham","MBBS, Durham, Route 4-2","L15396335",36.09265,-78.90081,2021-06-16,"05:32 AM","eBird - Stationary Count",NA,NA,1,"","vehicles=3; habitat=OWM,BM","Roger Shaw",3,NA,NA,1,2021,"durham",4,2,NA,NA,NA,NA,NA,NA
"5","S111036080","Canada Goose","Branta canadensis",303,"2","US-NC","Durham","MBBS, Durham, Route 6-12","L11473518",35.9300092,-78.8853173,2022-05-22,"06:27 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=11","David Smith, Judy Smith",NA,NA,NA,2,2022,"durham",6,12,NA,NA,NA,NA,NA,NA
"6","S69216200","Canada Goose","Branta canadensis",303,"4","US-NC","Durham","MBBS, Durham, Route 6-16","L11473614",35.9574454,-78.9087501,2020-05-17,"07:06 AM","eBird - Stationary Count",NA,NA,1,"","v=6; h=B,BH","David Smith, Judy Smith",NA,NA,NA,4,2020,"durham",6,16,NA,NA,NA,NA,NA,NA
"7","S88865149","Canada Goose","Branta canadensis",303,"1","US-NC","Durham","MBBS, Durham, Route 6-2","L11472705",35.8744067,-78.8366567,2021-05-23,"05:41 AM","eBird - Stationary Count",NA,NA,1,"","V=3","David Smith, Judy Smith",NA,NA,NA,1,2021,"durham",6,2,NA,NA,NA,NA,NA,NA
"8","S69216223","Canada Goose","Branta canadensis",303,"2","US-NC","Durham","MBBS, Durham, Route 6-7","L11473403",35.9021586,-78.8538769,2020-05-17,"06:16 AM","eBird - Stationary Count",NA,NA,1,"","v=4; h=BP,BOW","David Smith, Judy Smith",NA,NA,NA,2,2020,"durham",6,7,NA,NA,NA,NA,NA,NA
"9","S111036085","Canada Goose","Branta canadensis",303,"2","US-NC","Durham","MBBS, Durham, Route 6-7","L11473403",35.9021586,-78.8538769,2022-05-22,"06:00 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=4","David Smith, Judy Smith",NA,NA,NA,2,2022,"durham",6,7,NA,NA,NA,NA,NA,NA
"10","S8323161","Canada Goose","Branta canadensis",303,"6","US-NC","Durham","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2010-05-09,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer=Judy Murray; weather=47F, partly cloudy, light breeze; vehicles=3","Judy Murray",NA,"47F, partly cloudy, light breeze",NA,6,2010,"durham",1,NA,NA,NA,NA,NA,NA,NA
"11","S10916836","Canada Goose","Branta canadensis",303,"8","US-NC","Durham","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2012-05-27,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer=Judy Murray; weather=cloudy, no wind, 61F; vehicles=3; notes=habitat no change, bridge over Flat River on NC State forestry land still out at stop 12, two Bobwhites calling at stop 15.","Judy Murray",3,"cloudy, no wind, 61F",NA,8,2012,"durham",1,NA,NA,NA,NA,NA,NA,NA
"12","S14470205","Canada Goose","Branta canadensis",303,"25","US-NC","Durham","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2013-06-16,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers=judy murray; weather=clear, no breeze, 64F; vehicles=10; notes=bridge over flat river still out in nc state property.","judy murray",NA,NA,NA,25,2013,"durham",1,NA,NA,NA,NA,NA,NA,NA
