"","sub_id","common_name","sci_name","tax_order","count_raw","state","county","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num","hab_hm","hab_p","hab_o","hab_b","hab_other","source"
"11","S8945933","Canada Goose","Branta canadensis",303,"8","US-NC","Orange","MBBS, NC, Orange Co, Route 03, Harmony Church Road","L960637",36.11949,-79.17658,2011-06-12,"05:55 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Karen Piplani; weather&#61;70 F, partly cloudy, still; vehicles&#61;?; notes&#61;new observer, vehicles not counted","Karen Piplani",NA,"70 F, partly cloudy, still",NA,8,2011,"orange",3,NA,NA,NA,NA,NA,NA,NA
"12","S23810138","Canada Goose","Branta canadensis",303,"7","US-NC","Orange","MBBS, NC, Orange Co, Route 03, Harmony Church Road","L960637",36.11949,-79.17658,2015-06-07,"05:25 AM","eBird - Traveling Count",16.093,NA,1,"","observer&#61;Barb Brooks; weather&#61;60's clear; vehicles&#61;32; habitat@1R&#61;B; notes&#61;saw sparrow on wire but could not hear it. listed under passerines.","Barb Brooks",32,NA,NA,7,2015,"orange",3,NA,NA,NA,NA,NA,NA,NA
"13","S10897889","Canada Goose","Branta canadensis",303,"58","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L1567169",35.99296,-79.14982,2012-06-02,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;Will Cook; weather&#61;58F, cloudy,wind 5 mph; vehicles&#61;11; habitat&#61;1O,P, 2H,O, 3B,O, 4O,P, 5O,P, 6B,O, 7H,H, 8O,O, 9O,O, 10H,H, 11H,O, 12M,M, 13P,M, 14O,B, 15M,M, 16O,O, 17B,O, 18O,M, 19M,B, 20O,O; habitat@20R&#61;O (clearcut)","Will Cook",11,"58F, cloudy,wind 5 mph",NA,58,2012,"orange",5,NA,NA,NA,NA,NA,NA,NA
"14","S14313818","Canada Goose","Branta canadensis",303,"29","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L1567169",35.99296,-79.14982,2013-06-02,"05:43 AM","eBird - Traveling Count",15.289,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;Will Cook; weather&#61;70F, cloudy,wind 10 mph; vehicles&#61;4; habitat&#61;1O,P, 2H,O, 3B,O, 4O,P, 5O,P, 6B,O, 7H,H, 8O,O, 9O,O, 10H,H, 11H,O, 12M,M, 13P,M, 14O,B, 15M,M, 16O,O, 17B,O, 18O,M, 19M,B, 20O,O","Will Cook",4,"70F, cloudy,wind 10 mph",NA,29,2013,"orange",5,NA,NA,NA,NA,NA,NA,NA
"15","S18943043","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L1567169",35.99296,-79.14982,2014-06-29,"05:38 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers=Will Cook; weather=65F, clear,wind 5 mph; vehicles=10; habitat=1O,P, 2 H,O, 3 B,O, 4O,P, 5O,P, 6B,O, 7H,H, 8O,O, 9O,O, 10H,H, 11H,O, 12P,O, 13P,P, 14O,B, 15M,M, 16O,O, 17B,O, 18O,M, 19M,B, 20O,O",NA,NA,NA,NA,4,2014,"orange",5,NA,NA,NA,NA,NA,NA,NA
"16","S23718791","Canada Goose","Branta canadensis",303,"21","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L1567169",35.99296,-79.14982,2015-05-31,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers=Will Cook; weather=72F, partly cloudy with light rain; vehicles=3; habitat@20R=S",NA,NA,NA,NA,21,2015,"orange",5,NA,NA,NA,NA,NA,NA,NA
"17","S30085176","Canada Goose","Branta canadensis",303,"1","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L1567169",35.99296,-79.14982,2016-06-05,"05:35 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers=Will Cook; weather=71F, overcast with some rain; vehicles=7",NA,NA,NA,NA,1,2016,"orange",5,NA,NA,NA,NA,NA,NA,NA
"18","S37512642","Canada Goose","Branta canadensis",303,"1","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L5957941",35.99296,-79.14982,2017-06-10,"05:28 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers=Will Cook; weather=65F, partly cloudy; vehicles=12; habitat 7: H/O H/W, 10 H H/B, 14 P B/O, 15 M/B M",NA,NA,NA,NA,1,2017,"orange",5,NA,NA,NA,NA,NA,NA,NA
"19","S57030721","Canada Goose","Branta canadensis",303,"3","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L9399630",35.99296,-79.14982,2019-06-02,"05:29 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;Will Cook; weather&#61;74F, sunny; vehicles&#61;6","Will Cook",NA,"74F, sunny",NA,3,2019,"orange",5,NA,NA,NA,NA,NA,NA,NA
"20","S70784916","Canada Goose","Branta canadensis",303,"10","US-NC","Orange","MBBS, NC, Orange Co, Route 05, Arthur Minnis Road","L11764491",35.99296,-79.14982,2020-06-14,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers=Will Cook; weather=74F, sunny; vehicles=3",NA,NA,NA,NA,10,2020,"orange",5,NA,NA,NA,NA,NA,NA,NA
