"","sub_id","common_name","sci_name","tax_order","count_raw","state","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","species_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num","hab_hm","hab_p","hab_o","hab_b","hab_other","source"
"1","S89764927","Canada Goose","Branta canadensis",324,"2","US-NC","MBBS, Durham, 8-15","L15272651",36.018845,-78.805619,2021-06-06,"06:31 AM","eBird - Stationary Count",NA,NA,1,"","v=4;h=B,M","","Brian Bockhahn",NA,NA,NA,2,2021,"durham",8,15,NA,NA,NA,NA,NA,NA
"2","S89764923","Canada Goose","Branta canadensis",324,"26","US-NC","MBBS, Durham, 8-19","L15272698",36.046454,-78.808834,2021-06-06,"06:50 AM","eBird - Stationary Count",NA,NA,1,"","h=B,W,M","","Brian Bockhahn",NA,NA,NA,26,2021,"durham",8,19,NA,NA,NA,NA,NA,NA
"3","S117821466","Canada Goose","Branta canadensis",324,"16","US-NC","MBBS, Durham, 8-19","L15272698",36.046454,-78.808834,2022-06-19,"06:43 AM","eBird - Stationary Count",NA,NA,1,"","v=0","","Brian Bockhahn",NA,NA,NA,16,2022,"durham",8,19,NA,NA,NA,NA,NA,NA
"4","S141573512","Canada Goose","Branta canadensis",324,"22","US-NC","MBBS, Durham, 8-19","L15272698",36.046454,-78.808834,2023-06-11,"06:47 AM","eBird - Stationary Count",NA,NA,1,"","","","Brian Bockhahn",NA,NA,NA,22,2023,"durham",8,19,NA,NA,NA,NA,NA,NA
"5","S138780849","Canada Goose","Branta canadensis",324,"13","US-NC","MBBS, Durham, Route 1-7","L19211082",36.171284,-78.924783,2023-05-21,"06:32 AM","eBird - Traveling Count",0.065,NA,1,"","","","Noah Rokoske, Robin Moran, Jennifer Maher",NA,NA,NA,13,2023,"durham",1,7,NA,NA,NA,NA,NA,NA
"6","S90266024","Canada Goose","Branta canadensis",324,"1","US-NC","MBBS, Durham, Route 4-2","L15396335",36.09265,-78.90081,2021-06-16,"05:32 AM","eBird - Stationary Count",NA,NA,1,"","vehicles=3; habitat=OWM,BM","","Roger Shaw",3,NA,NA,1,2021,"durham",4,2,NA,NA,NA,NA,NA,NA
"7","S111036080","Canada Goose","Branta canadensis",324,"2","US-NC","MBBS, Durham, Route 6-12","L11473518",35.9300092,-78.8853173,2022-05-22,"06:27 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=11","","David Smith, Judy Smith",NA,NA,NA,2,2022,"durham",6,12,NA,NA,NA,NA,NA,NA
"8","S69216200","Canada Goose","Branta canadensis",324,"4","US-NC","MBBS, Durham, Route 6-16","L11473614",35.9574454,-78.9087501,2020-05-17,"07:06 AM","eBird - Stationary Count",NA,NA,1,"","v=6; h=B,BH","","David Smith, Judy Smith",NA,NA,NA,4,2020,"durham",6,16,NA,NA,NA,NA,NA,NA
"9","S88865149","Canada Goose","Branta canadensis",324,"1","US-NC","MBBS, Durham, Route 6-2","L11472705",35.8744067,-78.8366567,2021-05-23,"05:41 AM","eBird - Stationary Count",NA,NA,1,"","V=3","","David Smith, Judy Smith",NA,NA,NA,1,2021,"durham",6,2,NA,NA,NA,NA,NA,NA
"10","S69216223","Canada Goose","Branta canadensis",324,"2","US-NC","MBBS, Durham, Route 6-7","L11473403",35.9021586,-78.8538769,2020-05-17,"06:16 AM","eBird - Stationary Count",NA,NA,1,"","v=4; h=BP,BOW","","David Smith, Judy Smith",NA,NA,NA,2,2020,"durham",6,7,NA,NA,NA,NA,NA,NA
"11","S111036085","Canada Goose","Branta canadensis",324,"2","US-NC","MBBS, Durham, Route 6-7","L11473403",35.9021586,-78.8538769,2022-05-22,"06:00 AM","eBird - Stationary Count",NA,NA,1,"","Vehicles=4","","David Smith, Judy Smith",NA,NA,NA,2,2022,"durham",6,7,NA,NA,NA,NA,NA,NA
"12","S140352320","Canada Goose","Branta canadensis",324,"77","US-NC","MBBS, Durham, Route 6-7","L11473403",35.9021586,-78.8538769,2023-06-03,"05:54 AM","eBird - Stationary Count",NA,NA,1,"","H=BP,BOW; V=8","","David Smith, Judy Smith",NA,NA,NA,77,2023,"durham",6,7,NA,NA,NA,NA,NA,NA
"13","S8323161","Canada Goose","Branta canadensis",324,"6","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2010-05-09,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer=Judy Murray; weather=47F, partly cloudy, light breeze; vehicles=3","","Judy Murray",NA,"47F, partly cloudy, light breeze",NA,6,2010,"durham",1,NA,NA,NA,NA,NA,NA,NA
"14","S10916836","Canada Goose","Branta canadensis",324,"8","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2012-05-27,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer=Judy Murray; weather=cloudy, no wind, 61F; vehicles=3; notes=habitat no change, bridge over Flat River on NC State forestry land still out at stop 12, two Bobwhites calling at stop 15.","","Judy Murray",3,"cloudy, no wind, 61F",NA,8,2012,"durham",1,NA,NA,NA,NA,NA,NA,NA
"15","S14470205","Canada Goose","Branta canadensis",324,"25","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2013-06-16,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers=judy murray; weather=clear, no breeze, 64F; vehicles=10; notes=bridge over flat river still out in nc state property.","","judy murray",10,"clear, no breeze, 64F",NA,25,2013,"durham",1,NA,NA,NA,NA,NA,NA,NA
"16","S23763828","Canada Goose","Branta canadensis",324,"5","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2015-05-24,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers=Robin Moran, Judy Murray; others=Julie Huff-Jerome; weather=70F, partly cloudy, calm; vehicles=13; habitat@16R=B; notes=at stop 10 Horned Lark in new soybean field, new bird for Robin-so excited, while watching the lark Grasshopper Sparrow singing in field behind us, good looks there also.","","Robin Moran, Judy Murray",13,"70F, partly cloudy, calm",NA,5,2015,"durham",1,NA,NA,NA,NA,NA,NA,NA
"17","S57561031","Canada Goose","Branta canadensis",324,"1","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2019-05-26,"05:36 AM","eBird - Traveling Count",16.093,NA,1,"","clear/no wind/73 degrees","","robin moran and jennifer maher",NA,NA,NA,1,2019,"durham",1,NA,NA,NA,NA,NA,NA,NA
"18","S70173514","Canada Goose","Branta canadensis",324,"1","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2019-05-26,"05:36 AM","eBird - Traveling Count",16.093,NA,1,"","observers=robin moran and jennifer maher;  weather=73 F, clear, no wind; vehicles=23; habitat=unchanged","","robin moran and jennifer maher",23,"73 F, clear, no wind",NA,1,2019,"durham",1,NA,NA,NA,NA,NA,NA,NA
"19","S70172721","Canada Goose","Branta canadensis",324,"3","US-NC","MBBS, NC, Durham Co, Route 01, South Lowell Rd NE","L1171673",36.14025,-78.95265,2020-05-24,"05:35 AM","eBird - Traveling Count",16.093,NA,1,"","observers=robin moran and jennifer maher; weather= 65 F, clear, wind calm; vehicles=13; habitat=no changes","","robin moran and jennifer maher",13," 65 F, clear, wind calm",NA,3,2020,"durham",1,NA,NA,NA,NA,NA,NA,NA
"20","S8383936","Canada Goose","Branta canadensis",324,"2","US-NC","MBBS, NC, Durham Co, Route 03, Broad Street NW","L929214",36.0172651,-78.9190844,2011-06-09,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers=Patsy Bailey, Norman Budnitz; weather=73F to 78F, clear with some early morning haze, wind calm; vehicles=545; had to run route on Thursday (bad idea)","","Patsy Bailey, Norman Budnitz",545,"73F to 78F, clear with some early morning haze, wind calm",NA,2,2011,"durham",3,NA,NA,NA,NA,NA,NA,NA
