"","sub_id","common_name","sci_name","tax_order","count_raw","state","county","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num","hab_hm","hab_p","hab_o","hab_b","hab_other","source"
"1","S6659615","Canada Goose","Branta canadensis",303,"0","US-NC","Durham","MBBS, NC, Orange Co, Route 08, Guess Road","L959143",36.1491032,-78.9660358,2010-06-01,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;B. Brooks, A. Nester; weather&#61;light rain, 60's; vehicles&#61;9; notes&#61;no unusual circumstances",NA,9,NA,NA,0,2010,"orange",8,NA,NA,NA,NA,NA,NA,NA
"2","S10861850","Canada Goose","Branta canadensis",303,"3","US-NC","Durham","MBBS, NC, Orange Co, Route 08, Guess Road","L959143",36.1491032,-78.9660358,2012-05-13,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Barb Brooks; weather&#61;60's F, partly cloudy; vehicles&#61;8; habitat&#61;1H/H, 2H/BO, 3OB/B, 4B/B, 5H/O, 6B/B, 7B/S, 8B/O, 9O/H, 10B/M, 11P/B, 12S/O, 13H/B, 14S/B, 15M/MW, 16B/B,17O/B, 18B/OB, 19B/O, 20OB/OB; notes&#61;dogs at stop 14.","Barb Brooks",8,NA,NA,3,2012,"orange",8,NA,NA,NA,NA,NA,NA,NA
"3","S45895429","Canada Goose","Branta canadensis",303,"2","US-NC","Durham","MBBS, NC, Orange Co, Route 08, Guess Road","L959143",36.1491032,-78.9660358,2018-05-20,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observer: Barb Brooks; 70's cloudy; vehicles:9; no changes in habitat",NA,NA,NA,NA,2,2018,"orange",8,NA,NA,NA,NA,NA,NA,NA
"4","S6552240","Canada Goose","Branta canadensis",303,"0","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2010-06-17,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;N. Budnitz, M. Schultz; weather&#61;clear, 70F, wind calm, no rain; vehicles&#61;80",NA,NA,"clear, 70F, wind calm, no rain",NA,0,2010,"orange",1,NA,NA,NA,NA,NA,NA,NA
"5","S8347869","Canada Goose","Branta canadensis",303,"26","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2011-05-22,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers=Norm Budnitz, Mike Schultz; weather=70F-78F, sky clear, wind calm; vehicles=25; habitat@4R=B; habitat@5L=B; habitat@8L=BO; habitat@8R=BOW",NA,NA,NA,NA,26,2011,"orange",1,NA,NA,NA,NA,NA,NA,NA
"6","S14515661","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2013-06-13,"05:10 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;73-75 F, clear, wind calm; vehicles&#61;79; habitat@4R&#61;BO; habitat@5L&#61;B; habitat@16L&#61;B; habitat@16R&#61;B; habitat&#61;1O,S, 2OH,H, 3O,B, 4B,BO, 5B,OS, 6B,O, 7 O,O, 8O,O, 9BO,BO, 10BO,BO, 11B,B, 12 OM,B, 13B,B, 14MO,HO, 15W,OW, 16B,B, 17O,O, 18HW,HW, 19B,BO, 20O,O; notes&#61;1 Horned Lark at #8, pre-count: 1 Barred Owl, 1 Eastern Whip-poor-will, 1 Yellow-breasted Chat.","Norman Budnitz, Mike Schultz",79,NA,NA,4,2013,"orange",1,NA,NA,NA,NA,NA,NA,NA
"7","S23615380","Canada Goose","Branta canadensis",303,"15","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2015-05-24,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;55F, wind   calm, sky clear, no precipitation; vehicles&#61;21; habitat&#61;1O,S, 2OH,H, 3O,B, 4B,BO, 5B,OS, 6B,O, 7 O,O, 8O,O, 9BO,BO, 10BO,BO, 11B,B, 12 OM,B, 13B,B, 14MO,HO, 15W,OW, 16B,B, 17O,O, 18HW,HW, 19BO,BO, 20O,O.","Norman Budnitz, Mike Schultz",21,"55F, wind   calm, sky clear, no precipitation",NA,15,2015,"orange",1,NA,NA,NA,NA,NA,NA,NA
"8","S37213429","Canada Goose","Branta canadensis",303,"10","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2017-05-28,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;70F, wind-calm, sky overcast then partly cloudy; very light rain for first three stops; vehicles&#61;28; habitat&#61;1O,S, 2OH,H, 3O,B, 4B,BO, 5B,OS, 6B,O, 7 O,O, 8O,O, 9BO,BO, 10BO,BO, 11B,B, 12 OM,B, 13B,B, 14MO,HO, 15W,OW, 16B,B, 17O,O, 18HW,HW, 19BO,BO, 20O,O; notes&#61;2 Green Herons between stops 13 &14","Norman Budnitz, Mike Schultz",28,NA,NA,10,2017,"orange",1,NA,NA,NA,NA,NA,NA,NA
"9","S6641285","Canada Goose","Branta canadensis",303,"0","US-NC","Orange","MBBS, NC, Orange Co, Route 02, Schley Road","L960634",36.1625476,-79.0965414,2010-05-29,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;B. BROOKS; weather&#61;fog, cloudy, 65F; vehicles&#61;6; notes&#61;nothing unusual",NA,6,"fog, cloudy, 65F",NA,0,2010,"orange",2,NA,NA,NA,NA,NA,NA,NA
"10","S8939263","Canada Goose","Branta canadensis",303,"15","US-NC","Orange","MBBS, NC, Orange Co, Route 02, Schley Road","L960634",36.1625476,-79.0965414,2011-05-30,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Barb Brooks; others&#61;0; vehicles&#61;12; weather&#61; clear, 70F","Barb Brooks",12,NA,NA,15,2011,"orange",2,NA,NA,NA,NA,NA,NA,NA
