route,date,time,observers,spec_code,common_name,count,year,route_num,hab_hm,hab_p,hab_o,hab_b,hab_other,vehicles,notes
,6/6/2002,5:30,Judy Murray,CHSP,Chipping Sparrow,16,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,FISP,Field Sparrow,3,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,GRSP,Grasshopper Sparrow,1,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,NOCA,N Cardinal,28,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,INBU,Indigo Bunting,27,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,EAME,E Meadowlark,3,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,COGR,Com Grackle,7,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,BHCO,Brown-headed Cowbird,4,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,6/6/2002,5:30,Judy Murray,AMGO,Am Goldfinch,1,2002,1,,,,,,,This route must be Indigo Bunting heaven -- but not a single Northern Mockingbird!   Note Durham's Grasshopper Sparrow
,5/27/2002,5:30,Bruce Young,GBHE,Great Blue Heron,2,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,RSHA,Red-shouldered Hawk,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,MODO,Mourning Dove,16,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,BAOW,Barred Owl,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,CHSW,Chimney Swift,5,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,RBWO,Red-bellied Woodpecker,6,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,DOWO,Downy Woodpecker,2,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,EAWP,E Wood-Pewee,2,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,ACFL,Acadian Flycatcher,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,EAPH,E Phoebe,3,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,REVI,Red-eyed Vireo,5,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,BLJA,Blue Jay,6,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,AMCR,Am Crow,27,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,CACH,Carolina Chickadee,16,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,TUTI,Tufted Titmouse,15,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,BHNU,Brown-headed Nuthatch,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,CARW,Carolina Wren,13,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,BGGN,B-g Gnatcatcher,7,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,EABL,E Bluebird,8,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,WOTH,Wood Thrush,15,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,AMRO,Am Robin,3,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,NOMO,N Mockingbird,4,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,BRTH,Brown Thrasher,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,EUST,Eur Starling,42,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,PIWA,Pine Warbler,16,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,PRAW,Prairie Warbler,2,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,OVEN,Ovenbird,5,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,COYE,Com Yellowthroat,2,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,SUTA,Summer Tanager,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,SCTA,Scarlet Tanager,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,EATO,E Towhee,2,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,CHSP,Chipping Sparrow,13,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,NOCA,N Cardinal,25,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,BLGR,Blue Grosbeak,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,INBU,Indigo Bunting,7,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,RWBL,Red-wing Blackbird,1,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,COGR,Com Grackle,72,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,HOFI,House Finch,5,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,AMGO,Am Goldfinch,3,2002,2,,,,,,,
,5/27/2002,5:30,Bruce Young,HOSP,House Sparrow,1,2002,2,,,,,,,
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,GRHE,Green Heron,2,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,MODO,Mourning Dove,13,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,CONI,Common Nighthawk,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,CHSW,Chimney Swift,32,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
