Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S88292220,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L14965577,"MBBS, Chatham Co, Route 14-19",35.817586,-78.9428178,2021-05-16,07:39 AM,eBird - Stationary Count,3,1,,,2,,,"vehicles=0; habitat=M,S; notes=drove too far to the field"
S88308731,Canada Goose,Branta canadensis,342,3,US-NC,Chatham,L11471483,"MBBS, Chatham Co, Route 2-20",35.8124578,-79.1076962,2021-05-16,08:19 AM,eBird - Stationary Count,5,1,,,2,,,"Vehicles=6; habitat=o,bo"
S89832205,Canada Goose,Branta canadensis,342,29,US-NC,Chatham,L15266049,"MBBS, Chatham, Route 1-20",35.846079,-79.098248,2021-06-06,08:35 AM,eBird - Casual Observation,,0,,,1,,,"V7, H= m, b"
S111672927,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15266049,"MBBS, Chatham, Route 1-20",35.846079,-79.098248,2022-05-22,08:37 AM,eBird - Stationary Count,3,1,,,1,H In Appropriate Habitat,Heard,V=8
S242586542,Canada Goose,Branta canadensis,342,3,US-NC,Chatham,L15266049,"MBBS, Chatham, Route 1-20",35.846079,-79.098248,2025-05-25,08:34 AM,eBird - Stationary Count,3,1,,,1,H In Appropriate Habitat,,"V=40; notes = so many more cars than usual I could not count carefully; H=B,B"
S351427388,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15266049,"MBBS, Chatham, Route 1-20",35.846079,-79.098248,2026-05-31,07:38 AM,eBird - Stationary Count,3,1,,,2,,,"vehicles=8; habitat=H,B*"
S89483759,Canada Goose,Branta canadensis,342,9,US-NC,Chatham,L15210114,"MBBS, Chatham, Route 12-17",35.666845,-79.433407,2021-06-02,07:39 AM,eBird - Stationary Count,3,1,,,1,,,"Vehicles=3; habitat=B, H"
S360378038,Canada Goose,Branta canadensis,342,4,US-NC,Chatham,L15212022,"MBBS, Chatham, Route 12-7",35.630478,-79.50084,2026-06-20,06:12 AM,eBird - Stationary Count,3,1,,,1,,,"Vehicles=0; Habitat=O, H"
S89483750,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L15212045,"MBBS, Chatham, Route 12-8",35.634097,-79.492706,2021-06-02,06:27 AM,eBird - Stationary Count,3,1,,,1,,,"Vehicles=4; habitat=O, S"
S112768804,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15265573,"MBBS, Chatham, Route 13-20",35.783286,-79.411567,2022-06-11,07:54 AM,eBird - Stationary Count,3,1,,,1,,,"observer= tom driscoll; weather = 62 F, clear, no breeze; vehicles= 1; habitat= B, O"
S252802064,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L48121009,"MBBS, Chatham, Route 14-6",35.78505,-79.009344,2025-06-21,06:07 AM,eBird - Stationary Count,3,1,,,1,,,"Vehicles=7; habitat=p,pw"
S180502629,Canada Goose,Branta canadensis,342,25,US-NC,Chatham,L19219811,"MBBS, Chatham, Route 3-18",35.5823524,-79.0269309,2024-06-09,07:11 AM,eBird - Stationary Count,3,1,,,2,,,"observers=Haven Wiley, Minna Wiley; weather=74 F, clear; v=2; h=no changes"
S351049389,Canada Goose,Branta canadensis,342,21,US-NC,Chatham,L19219811,"MBBS, Chatham, Route 3-18",35.5823524,-79.0269309,2026-05-31,07:27 AM,eBird - Stationary Count,3,1,,,2,,,"observers=Haven Wiley, Minna Wiley; weather=61 F, sunny, light breeze; v=0; h=no changes; notes =CAGO and ROPI in separate flocks feeding in a field of harvested small grains"
S139589322,Canada Goose,Branta canadensis,342,12,US-NC,Chatham,L15197285,"MBBS, Chatham, Route 4-10",35.5966128,-79.3260674,2023-05-26,06:46 AM,eBird - Stationary Count,3,1,,,2,,,"Vehicles=3;habitat=bs,ps"
S139589316,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15197562,"MBBS, Chatham, Route 4-16",35.6305218,-79.3382976,2023-05-26,07:33 AM,eBird - Stationary Count,3,1,,,2,,,"Vehicles=0;habitat=bo,m"
S111097270,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15197746,"MBBS, Chatham, Route 4-18",35.6486759,-79.3349673,2022-05-23,08:08 AM,eBird - Stationary Count,4,1,,,2,,,"v = 3; habitat = o, owb"
S350290572,Canada Goose,Branta canadensis,342,6,US-NC,Chatham,L15197134,"MBBS, Chatham, Route 4-7",35.5960411,-79.308629,2026-05-31,06:17 AM,eBird - Stationary Count,3,1,,,2,,,"vehicles=0; habitat=B,BS"
S181993722,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15179916,"MBBS, Chatham, Route 5-2",35.661167,-79.490189,2024-06-15,05:37 AM,eBird - Stationary Count,3,1,,,1,,,"vehicles=0; habitat=B, O"
S240000982,Canada Goose,Branta canadensis,342,10,US-NC,Chatham,L15385214,"MBBS, Chatham, Route 6-10",35.824808,-79.448311,2025-05-18,06:22 AM,eBird - Stationary Count,3,1,,,1,,,v=1
S240000981,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L15385245,"MBBS, Chatham, Route 6-11",35.817855,-79.445535,2025-05-18,06:26 AM,eBird - Traveling Count,3,1,.089,,1,,,v=0
S140307339,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L15385308,"MBBS, Chatham, Route 6-14",35.802477,-79.424753,2023-06-03,06:31 AM,eBird - Stationary Count,3,1,,,1
S175865518,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L15385439,"MBBS, Chatham, Route 6-18",35.790804,-79.397076,2024-05-19,06:59 AM,eBird - Stationary Count,3,1,,,1,,,v=2
S240000986,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L15385169,"MBBS, Chatham, Route 6-7",35.842234,-79.459836,2025-05-18,06:07 AM,eBird - Stationary Count,3,1,,,1,,,v=0
S115335621,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L6043712,"MBBS, Chatham, Route 7-12",35.7158568,-79.3125491,2022-06-26,06:29 AM,eBird - Stationary Count,3,1,,,1,,,v=1
S114470229,Canada Goose,Branta canadensis,342,4,US-NC,Chatham,L15469183,"MBBS, Chatham, Route 9-20",35.7232337,-79.0060746,2022-06-19,07:11 AM,eBird - Stationary Count,3,1,,,2,,group on retention pond,"vehicles=15; habitat= M/w,M; notes=retention pond behind trees"
S6921166,Canada Goose,Branta canadensis,342,0,US-NC,Chatham,L999581,"MBBS, NC, Chatham Co, Route 01, Russell Chapel Road",35.76855,-79.18405,2010-06-05,05:30 AM,eBird - Traveling Count,180,1,16.093,,1,,,"Mini Breeding Bird Survey, Chatham Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;P. Bailey; weather&#61;clear, 60F, light wind, no rain; vehicles&#61;99"
S23488877,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L999581,"MBBS, NC, Chatham Co, Route 01, Russell Chapel Road",35.76855,-79.18405,2015-05-17,05:30 AM,eBird - Traveling Count,183,1,16.093,,1,,,observer&#61;Patsy Bailey; weather&#61;62 F; vehicles&#61;54; notes&#61;during 15 minutes before start heard one distant whip-poor-will
S6560523,Canada Goose,Branta canadensis,342,0,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2010-06-20,05:30 AM,eBird - Traveling Count,120,1,16.093,,2,,,"Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;N. Budnitz, M. Schultz; weather&#61;overcast to clear, 75F, wind calm, no rain; vehicles&#61;50"
S8248021,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2011-05-15,05:30 AM,eBird - Traveling Count,140,1,16.093,,2,,,"Observers=Norm Budnitz, Mike Schultz; Weather=60-70F, wind calm, sky clear; Vehicles=49; Thirteen-year cicadas calling at every stop, sometimes quite loudly."
S10798041,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2012-05-20,05:30 AM,eBird - Traveling Count,140,1,16.093,,2,,,"observers&#61;Norm Budnitz, Mike Schultz; weather&#61;50-60F, wind calm to light and variable, sky clear; vehicles&#61;35."
S23514221,Canada Goose,Branta canadensis,342,5,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2015-05-17,05:30 AM,eBird - Traveling Count,150,1,16.093,,2,,,"observers&#61;Norman Budnitz, Mike Schultz; weather&#61;65 F, overcast for first half, then partly cloudy, wind calm; vehicles&#61;62; habitat@1R&#61;PO; habitat@5L&#61;BP; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7 M,B, 8B,B, 9BO,B, 10S,M, 11M,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,B, 19B,B, 20O,O; notes&#61;GBHE rookery in vicinity of stops 9-12"
S29684687,Canada Goose,Branta canadensis,342,2,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2016-05-15,05:40 AM,eBird - Traveling Count,180,1,16.093,,2,,,"observers&#61;Norman Budnitz, Mike Schultz; weather&#61;50 F, clear, wind calm to 10 mph; vehicles&#61;55; habitat@11L&#61;BM; habitat@18R&#61;BO; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7M,B, 8B,B, 9BO,B, 10S,M, 11BM,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,BO, 19B,B, 20O,O; notes&#61;GBHE rookery in vicinity of stops 9-12, BLVU roost in vicinity of stops 7-9, Magnolia Warblers at stops 14 & 17, bridge construction at stop 12 required long detour"
S46075923,Canada Goose,Branta canadensis,342,13,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2018-05-27,05:30 AM,eBird - Traveling Count,146,1,16.093,,2,,"1=0,2=0,3=0,4=0,5=0,6=0,7=0,8=0,9=0,10=0,11=0,12=0,13=0,14=0,15=0,16=0,17=0,18=0,19=0,20=13","observers&#61;Norman Budnitz, Mike Schultz; weather&#61;70-75 F, clear, wind calm; vehicles&#61;90; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7 M,B, 8B,B, 9BO,B, 10S,M, 11BM,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,BO, 19B,B, 20O,O; notes&#61;Osprey at stop 9 after time ran out"
S57343578,Canada Goose,Branta canadensis,342,5,US-NC,Chatham,L935743,"MBBS, NC, Chatham Co, Route 02, Mason Neck",35.86032,-78.9906,2019-05-19,05:30 AM,eBird - Traveling Count,175,1,16.093,,3,,"1=0,2=0,3=0,4=0,5=0,6=2,7=0,8=0,9=0,10=0,11=0,12=0,13=2,14=1,15=0,16=0,17=0,18=0,19=0,20=0","observers&#61;Norman Budnitz, Mike Schultz, Karen Hogan; weather&#61;68-75 F, clear, wind calm; vehicles&#61;110; habitat&#61;1P,PO, 2M,M, 3M,P, 4M,H, 5BP,BP, 6BS,BO, 7 M,B, 8B,B, 9BO,B, 10S,M, 11BM,B, 12M,MW, 13M,P, 14S,S, 15S,B, 16BM,B, 17B,B, 18B,BO, 19B,B, 20O,O; notes&#61;Scarlet Tanager after stop 2, Accipiter sp after stop 17"
S8435675,Canada Goose,Branta canadensis,342,12,US-NC,Chatham,L922791,"MBBS, NC, Chatham Co, Route 03, Bonsal Crossroad",35.67302,-78.98573,2011-06-18,05:25 AM,eBird - Traveling Count,180,1,16.093,,2,,one flock flying over,"observers&#61;Haven Wiley; others&#61;Minna Wiley; vehicles&#61;30; habitat@16R&#61;H; weather&#61;overcast, no wind, 70-75F; habitat&#61;1B,P, 2M,B, 3P,H, 4P,H, 5S,B, 6S,B, 7S,S, 8B,P, 9P,S, 10O,O, 11S,S, 12P,P, 13O,O, 14P,M, 15M,S, 16H,H, 17O,O, 18B,0, 19B,H, 20B,P; notes&#61;CWWI at 4 stops, BHVI in usual place, secondary/shrub habitats maturing at several stops."
S23493324,Canada Goose,Branta canadensis,342,1,US-NC,Chatham,L922791,"MBBS, NC, Chatham Co, Route 03, Bonsal Crossroad",35.67302,-78.98573,2015-05-17,05:30 AM,eBird - Traveling Count,115,1,16.093,,2,,",,,,,1,,,,,,,,,,,,,,","observers&#61;Haven Wiley; others&#61;Minna Wiley; vehicles&#61;21; habitat@3R&#61;P(formerly S); habitat@9R&#61;M(formerly P); habitat@15L(formerly P); habitat@15R(formerly S); weather&#61;65F, clear, bright overcast, no wind; notes&#61;date earlier than in previous years for this route; earlier date perhaps explains the high number of singing Red-eyed Vireos; Whip-poor-will and Chuck-will's-widow at the first stop as usual; Blue-headed Vireo once again at stop 12 in pine flatwoods with sparse understory"
S6542079,Canada Goose,Branta canadensis,342,3,US-NC,Chatham,L930796,"MBBS, NC, Chatham Co, Route 04, Henry Oldham Road",35.5797,-79.27682,2010-06-01,05:30 AM,eBird - Traveling Count,120,1,16.093,,2,,,"Mini Breeding Bird Survey, Chatham Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;M. Schultz, L. Schultz; weather&#61;clear, 65F, light wind, no rain; vehicles&#61;18; notes&#61;low flying small plane"
S8365786,Canada Goose,Branta canadensis,342,10,US-NC,Chatham,L930796,"MBBS, NC, Chatham Co, Route 04, Henry Oldham Road",35.5797,-79.27682,2011-05-28,05:30 AM,eBird - Traveling Count,135,1,16.093,,2,,,"observers&#61;Michael Schultz; others&#61;Lois Schultz; weather&#61;low 80's, overcast, no wind at all (unusual); vehicles&#61;10"
